GBL 1.0,GBL Aardvark
dc_title_s,dct_title_s
dct_alternativeTitle_sm,dct_alternative_sm
dc_description_s,dct_description_sm
dc_language_sm,dct_language_sm
dc_creator_sm,dct_creator_sm
dc_publisher_sm,dct_publisher_sm
dct_provenance_s,schema_provider_s
b1g_genre_sm,gbl_resourceClass_sm
layer_geom_type_s,gbl_resourceType_sm
dc_subject_sm,dct_subject_sm
b1g_keyword_sm,dcat_keyword_sm
dct_temporal_sm,dct_temporal_sm
dct_issued_s,dct_issued_s
solr_year_i,gbl_indexYear_im
b1g_date_range_drsim,gbl_dateRange_drsim
dct_spatial_sm,dct_spatial_sm
solr_geom,locn_geometry
b1g_centroid_ss,dcat_centroid_ss
dct_isPartOf_sm,pcdm_memberOf_sm
dc_source_sm,dct_source_sm
dc_rights_s,dct_accessRights_s
dct_accessRights_sm,dct_rights_sm
dc_format_s,dct_format_s
layer_id_s,gbl_wxsIdentifier_s
dct_references_s,dct_references_s
layer_slug_s,id
dc_identifier_s,dct_identifier_sm
layer_modified_dt,gbl_mdModified_dt
geoblacklight_version,gbl_mdVersion_s
suppressed_b,gbl_suppressed_b
