GBL 1.0,GBL Aardvark
dc_title_s,dct_title_s
dc_description_s,dct_description_sm
dc_language_s,dct_language_sm
dc_creator_s,dct_creator_sm
dc_publisher_s,dct_publisher_sm
dct_provenance_s,schema_provider_s
dc_subject_sm,dct_subject_sm
dct_temporal_sm,dct_temporal_sm
dct_issued_s,dct_issued_s
solr_year,gbl_indexYear_i
dct_spatial_sm,dct_spatial_sm
solr_geom,locn_geometry
dc_source_sm,dct_source_sm
dc_rights_s,dct_accessRights_s
dc_format_s,dct_format_s
layer_id_s,gbl_wxsIdentifier_s
dct_references_s,dct_references_s
layer_slug_s,id
dc_identifier_s,dct_identifier_sm
layer_modified_dt,gbl_mdModified_dt
geoblacklight_version,gbl_mdVersion_s
suppressed_b,gbl_suppressed_b
